Player	Yr		Team 	G 	AB 	R 	H 	2B 	3B 	HR 	GS 	RBI 	BB 	IBB 	SO 	SH 	SF 	HBP 	GIDP AVG 	OBP  	SLG
Kingman	1978 	Cubs 	119 	395 	65 	105 	17 	4 	28 	1 	79 	39 	8 	111 	2 	6 	6 	3 	.266 	.336 	.542
Kingman	1979 	Cubs 	145 	532 	97 	153 	19 	5 	48 	1 	115 	45 	7 	131 	0 	8 	4 	7 	.288 	.343 	.613
Kingman	1980 	Cubs 	81 	255 	31 	71 	8 	0 	18 	1 	57 	21 	3 	44 	0 	4 	0 	10 	.278 	.329 	.522
Kingman	1981 	Mets 	100 	353 	40 	78 	11 	3 	22 	2 	59 	55 	7 	105 	1 	2 	1 	9 	.221 	.326 	.456
Kingman	1982 	Mets 	149 	535 	80 	109 	9 	1 	37 	0 	99 	59 	9 	156 	3 	6 	4 	11 	.204 	.285 	.432
Kingman	1983 	Mets 	100 	248 	25 	49 	7 	0 	13 	0 	29 	22 	1 	57 	1 	1 	1 	2 	.198 	.265 	.383
Kingman	1984 	Athletics 	147 	549 	68 	147 	23 	1 	35 	3 	118 	44 	8 	119 	0 	14 	6 	7 	.268 	.321 	.505
Kingman	1985 	Athletics 	158 	592 	66 	141 	16 	0 	30 	1 	91 	62 	6 	114 	2 	8 	2 	17 	.238 	.309 	.417
Kingman	1986 	Athletics 	144 	561 	70 	118 	19 	0 	35 	1 	94 	33 	3 	126 	0 	7 	3 	16 	.210 	.255 	.431
Dawson	1976 	Expos 	24 	85 	9 	20 	4 	1 	0 	0 	7 	5 	1 	13 	2 	0 	0 	0 	.235 	.278 	.306
Dawson	1977 	Expos 	139 	525 	64 	148 	26 	9 	19 	0 	65 	34 	4 	93 	1 	4 	2 	6 	.282 	.326 	.474
Dawson	1978 	Expos 	157 	609 	84 	154 	24 	8 	25 	0 	72 	30 	3 	128 	4 	5 	12 	7 	.253 	.299 	.442
Dawson	1979 	Expos 	155 	639 	90 	176 	24 	12 	25 	0 	92 	27 	5 	115 	8 	4 	6 	10 	.275 	.309 	.468
Dawson	1980 	Expos 	151 	577 	96 	178 	41 	7 	17 	0 	87 	44 	7 	69 	1 	10 	6 	9 	.308 	.358 	.492
Dawson	1981 	Expos 	103 	394 	71 	119 	21 	3 	24 	1 	64 	35 	14 	50 	0 	5 	7 	6 	.302 	.365 	.553
Dawson	1982 	Expos 	148 	608 	107 	183 	37 	7 	23 	0 	83 	34 	4 	96 	4 	6 	8 	8 	.301 	.343 	.498
Dawson	1983 	Expos 	159 	633 	104 	189 	36 	10 	32 	0 	113 	38 	12 	81 	0 	18 	9 	14 	.299 	.338 	.539
Dawson	1984 	Expos 	138 	533 	73 	132 	23 	6 	17 	0 	86 	41 	2 	80 	1 	6 	2 	12 	.248 	.301 	.409
Dawson	1985 	Expos 	139 	529 	65 	135 	27 	2 	23 	1 	91 	29 	8 	92 	1 	7 	4 	12 	.255 	.295 	.444
Dawson	1986 	Expos 	130 	496 	65 	141 	32 	2 	20 	0 	78 	37 	11 	79 	1 	6 	6 	13 	.284 	.338 	.478
Dawson	1987 	Cubs 	153 	621 	90 	178 	24 	2 	49 	2 	137 	32 	7 	103 	0 	2 	7 	15 	.287 	.328 	.568
Dawson	1988 	Cubs 	157 	591 	78 	179 	31 	8 	24 	0 	79 	37 	12 	73 	1 	7 	4 	13 	.303 	.344 	.504
Dawson	1989 	Cubs 	118 	416 	62 	105 	18 	6 	21 	0 	77 	35 	13 	62 	0 	7 	1 	16 	.252 	.307 	.476
Dawson	1990 	Cubs 	147 	529 	72 	164 	28 	5 	27 	0 	100 	42 	21 	65 	0 	8 	2 	12 	.310 	.358 	.535
Dawson	1991 	Cubs 	149 	563 	69 	153 	21 	4 	31 	2 	104 	22 	3 	80 	0 	6 	5 	10 	.272 	.302 	.488
Dawson	1992 	Cubs 	143 	542 	60 	150 	27 	2 	22 	0 	90 	30 	8 	70 	0 	6 	4 	13 	.277 	.316 	.456
Dawson	1993 	RedSox 	121 	461 	44 	126 	29 	1 	13 	0 	67 	17 	4 	49 	0 	7 	13 	18 	.273 	.313 	.425
Dawson	1994 	RedSox 	75 	292 	34 	70 	18 	0 	16 	0 	48 	9 	3 	53 	0 	1 	4 	15 	.240 	.271 	.466
Dawson	1995 	Marlins 	79 	226 	30 	58 	10 	3 	8 	1 	37 	9 	1 	45 	0 	3 	8 	7 	.257 	.305 	.434
Dawson	1996 	Marlins 	42 	58 	6 	16 	2 	0 	2 	0 	14 	2 	0 	13 	0 	0 	1 	1 	.276 	.311 	.414
Ramirez	1993 	Indians 	22 	53 	5 	9 	1 	0 	2 	0 	5 	2 	0 	8 	0 	0 	0 	3 	.170 	.200 	.302
Ramirez	1994 	Indians 	91 	290 	51 	78 	22 	0 	17 	0 	60 	42 	4 	72 	0 	4 	0 	6 	.269 	.357 	.521
Ramirez	1995 	Indians 	137 	484 	85 	149 	26 	1 	31 	1 	107 	75 	6 	112 	2 	5 	5 	13 	.308 	.402 	.558
Ramirez	1996 	Indians 	152 	550 	94 	170 	45 	3 	33 	3 	112 	85 	8 	104 	0 	9 	3 	18 	.309 	.399 	.582
Ramirez	1997 	Indians 	150 	561 	99 	184 	40 	0 	26 	2 	88 	79 	5 	115 	0 	4 	7 	19 	.328 	.415 	.538
Ramirez	1998 	Indians 	150 	571 	108 	168 	35 	2 	45 	2 	145 	76 	6 	121 	0 	10 	6 	18 	.294 	.377 	.599
Ramirez	1999 	Indians 	147 	522 	131 	174 	34 	3 	44 	2 	165 	96 	9 	131 	0 	9 	13 	12 	.333 	.442 	.663
Ramirez	2000 	Indians 	118 	439 	92 	154 	34 	2 	38 	3 	122 	86 	9 	117 	0 	4 	3 	9 	.351 	.457 	.697
Ramirez	2001 	RedSox 	142 	529 	93 	162 	33 	2 	41 	1 	125 	81 	25 	147 	0 	2 	8 	9 	.306 	.405 	.609
Ramirez	2002 	RedSox 	120 	436 	84 	152 	31 	0 	33 	1 	107 	73 	14 	85 	0 	1 	8 	13 	.349 	.450 	.647
Ramirez	2003 	RedSox 	154 	569 	117 	185 	36 	1 	37 	0 	104 	97 	28 	94 	0 	5 	8 	22 	.325 	.427 	.587
Ramirez	2004 	RedSox 	152 	568 	108 	175 	44 	0 	43 	2 	130 	82 	15 	124 	0 	7 	6 	17 	.308 	.397 	.613
Ramirez	2005 	RedSox 	152 	554 	112 	162 	30 	1 	45 	3 	144 	80 	9 	119 	0 	6 	10 	20 	.292 	.388 	.594
Gonzalez	1989 	Rangers 	24 	60 	6 	9 	3 	0 	1 	0 	7 	6 	0 	17 	2 	0 	0 	4 	.150 	.227 	.250
Gonzalez	1990 	Rangers 	25 	90 	11 	26 	7 	1 	4 	0 	12 	2 	0 	18 	0 	1 	2 	2 	.289 	.316 	.522
Gonzalez	1991 	Rangers 	142 	545 	78 	144 	34 	1 	27 	1 	102 	42 	7 	118 	0 	3 	5 	10 	.264 	.321 	.479
Gonzalez	1992 	Rangers 	155 	584 	77 	152 	24 	2 	43 	0 	109 	35 	1 	143 	0 	8 	5 	16 	.260 	.304 	.529
Gonzalez	1993 	Rangers 	140 	536 	105 	166 	33 	1 	46 	1 	118 	37 	7 	99 	0 	1 	13 	12 	.310 	.368 	.632
Gonzalez	1994 	Rangers 	107 	422 	57 	116 	18 	4 	19 	1 	85 	30 	10 	66 	0 	4 	7 	18 	.275 	.330 	.472
Gonzalez	1995 	Rangers 	90 	352 	57 	104 	20 	2 	27 	1 	82 	17 	3 	66 	0 	5 	0 	15 	.295 	.324 	.594
Gonzalez	1996 	Rangers 	134 	541 	89 	170 	33 	2 	47 	0 	144 	45 	12 	82 	0 	3 	3 	10 	.314 	.368 	.643
Gonzalez	1997 	Rangers 	133 	533 	87 	158 	24 	3 	42 	1 	131 	33 	7 	107 	0 	10 	3 	12 	.296 	.335 	.589
Gonzalez	1998 	Rangers 	154 	606 	110 	193 	50 	2 	45 	2 	157 	46 	9 	126 	0 	11 	6 	20 	.318 	.366 	.630
Gonzalez	1999 	Rangers 	144 	562 	114 	183 	36 	1 	39 	0 	128 	51 	7 	105 	0 	12 	4 	10 	.326 	.378 	.601
Gonzalez	2000 	Tigers 	115 	461 	69 	133 	30 	2 	22 	0 	67 	32 	3 	84 	0 	1 	2 	13 	.289 	.337 	.505
Gonzalez	2001 	Indians 	140 	532 	97 	173 	34 	1 	35 	1 	140 	41 	5 	94 	0 	16 	6 	18 	.325 	.370 	.590
Gonzalez	2002 	Rangers 	70 	277 	38 	78 	21 	1 	8 	0 	35 	17 	1 	56 	0 	1 	1 	11 	.282 	.324 	.451
Gonzalez	2003 	Rangers 	82 	327 	49 	96 	17 	1 	24 	0 	70 	14 	1 	73 	0 	1 	4 	10 	.294 	.329 	.572
Gonzalez	2004 	Royals 	33 	127 	17 	35 	4 	1 	5 	0 	17 	9 	1 	19 	0 	1 	1 	3 	.276 	.326 	.441
Gonzalez	2005 	Indians 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	.000 	.000 	.000
RipkenJr	1981 	Orioles 	23 	39 	1 	5 	0 	0 	0 	0 	0 	1 	0 	8 	0 	0 	0 	4 	.128 	.150 	.128
RipkenJr	1982 	Orioles 	160 	598 	90 	158 	32 	5 	28 	1 	93 	46 	3 	95 	2 	6 	3 	16 	.264 	.317 	.475
RipkenJr	1983 	Orioles 	162 	663 	121 	211 	47 	2 	27 	1 	102 	58 	0 	97 	0 	5 	0 	24 	.318 	.371 	.517
RipkenJr	1984 	Orioles 	162 	641 	103 	195 	37 	7 	27 	0 	86 	71 	1 	89 	0 	2 	2 	16 	.304 	.374 	.510
RipkenJr	1985 	Orioles 	161 	642 	116 	181 	32 	5 	26 	0 	110 	67 	1 	68 	0 	8 	1 	32 	.282 	.347 	.469
RipkenJr	1986 	Orioles 	162 	627 	98 	177 	35 	1 	25 	0 	81 	70 	5 	60 	0 	6 	4 	19 	.282 	.355 	.461
